"Article","Domain","FileTitle","License","Artist","DescriptionUrl","SourceUrl","RemoteSha1","ManifestSha1","CachePath","Bytes","VerifiedUtc","Decision"
"Ultrasound","Medicine","File:3dultrasound.png","Public domain","","https://commons.wikimedia.org/wiki/File:3dultrasound.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/3dultrasound.png","3a99b2f6e773bc6fa5c6b1e9d89bcd6c24ff424a","3a99b2f6e773bc6fa5c6b1e9d89bcd6c24ff424a","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/9/a/c/3dultrasound.png","153031","2026-08-10T18:52:02.1311836Z","INCLUDE"
"Pregnancy","Medicine","File:40 weeks pregnant.png","CC BY-SA 2.5","","https://commons.wikimedia.org/wiki/File:40_weeks_pregnant.png","https://upload.wikimedia.org/wikipedia/commons/e/ea/40_weeks_pregnant.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","41290dc6cdb5ec7a9171baa2fa9fcee020ee34dc","41290dc6cdb5ec7a9171baa2fa9fcee020ee34dc","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/e/a/9/7/40_weeks_pregnant.png","11732","2026-08-10T18:51:39.4369469Z","EXCLUDE_MISSING_CREDIT"
"Internal combustion engine","Engineering","File:4StrokeEngine Ortho 3D Small.gif","CC BY-SA 3.0","Zephyris","https://commons.wikimedia.org/wiki/File:4StrokeEngine_Ortho_3D_Small.gif","https://upload.wikimedia.org/wikipedia/commons/d/dc/4StrokeEngine_Ortho_3D_Small.gif?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","fdf8f0c88f8fc1742a0edfffb524fa6b8b01d293","fdf8f0c88f8fc1742a0edfffb524fa6b8b01d293","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/c/4/3/4StrokeEngine_Ortho_3D_Small.gif","3753846","2026-08-10T18:51:40.3710024Z","INCLUDE"
"Pregnancy","Medicine","File:6 weeks pregnant.png","CC BY-SA 2.5","","https://commons.wikimedia.org/wiki/File:6_weeks_pregnant.png","https://upload.wikimedia.org/wikipedia/commons/a/aa/6_weeks_pregnant.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","a97afddbeefc1045e6c06b1ad07755063485e263","a97afddbeefc1045e6c06b1ad07755063485e263","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/a/a/8/0/6_weeks_pregnant.png","9542","2026-08-10T18:51:39.4369469Z","EXCLUDE_MISSING_CREDIT"
"Human skull","Medicine","File:621 Anatomy of a Flat Bone.jpg","CC BY 3.0","OpenStax College","https://commons.wikimedia.org/wiki/File:621_Anatomy_of_a_Flat_Bone.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1f/621_Anatomy_of_a_Flat_Bone.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","83b957e7c0ec497ecedcd5f702db074dbc4633bb","83b957e7c0ec497ecedcd5f702db074dbc4633bb","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/f/8/8/621_Anatomy_of_a_Flat_Bone.jpg","137878","2026-08-10T18:51:38.3942744Z","INCLUDE"
"Diesel engine","Engineering","File:8 cylinder Burmeister & Wain Diesel engine for MS Glenapp 1920.png","Public domain","Unknown author Unknown author","https://commons.wikimedia.org/wiki/File:8_cylinder_Burmeister_%26_Wain_Diesel_engine_for_MS_Glenapp_1920.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/8%20cylinder%20Burmeister%20%26%20Wain%20Diesel%20engine%20for%20MS%20Glenapp%201920.png","2f87d5d6a440e831fab183ca3ce4ba620cd320c7","2f87d5d6a440e831fab183ca3ce4ba620cd320c7","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/4/1/3/6/8_cylinder_Burmeister_&_Wain_Diesel_engine_for_MS_Glenapp_1920.png","705497","2026-08-10T18:52:02.5351589Z","INCLUDE"
"Childbirth","Medicine","File:810 women die every day from preventable causes related to pregnancy and childbirth, 94% occur in low and lower middle-income countries.png","CC BY-SA 3.0 igo","UN Women","https://commons.wikimedia.org/wiki/File:810_women_die_every_day_from_preventable_causes_related_to_pregnancy_and_childbirth,_94%25_occur_in_low_and_lower_middle-income_countries.png","https://upload.wikimedia.org/wikipedia/commons/c/cf/810_women_die_every_day_from_preventable_causes_related_to_pregnancy_and_childbirth%2C_94%25_occur_in_low_and_lower_middle-income_countries.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","92e157fb196849f17e12a3a6b4035890d2de4d1f","92e157fb196849f17e12a3a6b4035890d2de4d1f","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/c/f/c/1/810_women_die_every_day_from_preventable_causes_related_to_pregnancy_and_childbirth,_94%_occur_in_low_and_lower_middle-income_countries.png","69544","2026-08-10T18:51:36.4102649Z","EXCLUDE_LICENSE_REVIEW"
"Burn","Medicine","File:8-day-old-3rd-degree-burn.jpg","Public domain","Craig0927","https://commons.wikimedia.org/wiki/File:8-day-old-3rd-degree-burn.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/8-day-old-3rd-degree-burn.jpg/1920px-8-day-old-3rd-degree-burn.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","3bd46ce6583ab9b7e7f1c0ce9025cf9186705a54","3bd46ce6583ab9b7e7f1c0ce9025cf9186705a54","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/7/8/2/9/8-day-old-3rd-degree-burn.jpg","465108","2026-08-10T18:51:37.2837723Z","INCLUDE"
"Voltage","Electrical","File:9VBatteryWithMeter.jpg","CC0","Dennis G German, aka DGerman at English Wikipedia","https://commons.wikimedia.org/wiki/File:9VBatteryWithMeter.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1f/9VBatteryWithMeter.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","f91b4e04b15c705b435fb2930193c9aab6a115d1","f91b4e04b15c705b435fb2930193c9aab6a115d1","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/f/9/7/9VBatteryWithMeter.jpg","82988","2026-08-10T18:52:00.4764038Z","INCLUDE"
"Shingles","Medicine","File:A Course of Shingles diagram.png","Public domain","Renee Gordon","https://commons.wikimedia.org/wiki/File:A_Course_of_Shingles_diagram.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/A%20Course%20of%20Shingles%20diagram.png","a7997bf149bcebc20c443a9baaefacfd5c403d9a","a7997bf149bcebc20c443a9baaefacfd5c403d9a","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/4/d/5/b/A_Course_of_Shingles_diagram.png","105307","2026-08-10T18:52:02.1291766Z","INCLUDE"
"First aid","Medicine","File:A first aid box.jpg","CC BY-SA 4.0","Contributers2020","https://commons.wikimedia.org/wiki/File:A_first_aid_box.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/A_first_aid_box.jpg/1920px-A_first_aid_box.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","3372093d1590b249691dfb67a3d8808b8f2935f1","3372093d1590b249691dfb67a3d8808b8f2935f1","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/0/5/8/A_first_aid_box.jpg","283280","2026-08-10T18:51:37.2871663Z","INCLUDE"
"Medical imaging","Medicine","File:A nuclear medicine machine is used for medical imaging in a hospital in North Carolina 04.jpg","CC BY 4.0","Harrison Keely","https://commons.wikimedia.org/wiki/File:A_nuclear_medicine_machine_is_used_for_medical_imaging_in_a_hospital_in_North_Carolina_04.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/A%20nuclear%20medicine%20machine%20is%20used%20for%20medical%20imaging%20in%20a%20hospital%20in%20North%20Carolina%2004.jpg?width=2400","fb4110645470aa50895d7b0836249b69451b5727","fb4110645470aa50895d7b0836249b69451b5727","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/5/5/9/5/A_nuclear_medicine_machine_is_used_for_medical_imaging_in_a_hospital_in_North_Carolina_04.jpg","1766755","2026-08-10T18:52:01.7506589Z","INCLUDE"
"Bandage","Medicine","File:A strip of gauze bandage.jpg","CC BY 4.0","Struppig taucher","https://commons.wikimedia.org/wiki/File:A_strip_of_gauze_bandage.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/A%20strip%20of%20gauze%20bandage.jpg?width=2400","46ae47918b5ee5ce54f3805dd105d838fa7db6d5","46ae47918b5ee5ce54f3805dd105d838fa7db6d5","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/e/1/2/1/A_strip_of_gauze_bandage.jpg","2363670","2026-08-10T18:52:00.8470107Z","INCLUDE"
"Voltage","Electrical","File:AA AAA AAAA A23 battery comparison-1.jpg","CC BY-SA 3.0","Lead holder","https://commons.wikimedia.org/wiki/File:AA_AAA_AAAA_A23_battery_comparison-1.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d6/AA_AAA_AAAA_A23_battery_comparison-1.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","0e1ffc95502f1969fbcb70d28579ea992dfdcad0","0e1ffc95502f1969fbcb70d28579ea992dfdcad0","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/d/6/7/d/AA_AAA_AAAA_A23_battery_comparison-1.jpg","110058","2026-08-10T18:52:00.4764038Z","INCLUDE"
"Anatomical terminology","Medicine","File:Abdominal Quadrant Regions.jpg","CC BY 3.0","OpenStax","https://commons.wikimedia.org/wiki/File:Abdominal_Quadrant_Regions.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c9/Abdominal_Quadrant_Regions.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","11b9d612bd3cb9db6996846022f8359664d9bcd8","11b9d612bd3cb9db6996846022f8359664d9bcd8","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/c/9/6/1/Abdominal_Quadrant_Regions.jpg","460168","2026-08-10T18:51:36.4000199Z","INCLUDE"
"Airway management","Medicine","File:AbdominalThrust HeimlichManoeuvre.jpg","CC BY-SA 3.0","TenarAiuola","https://commons.wikimedia.org/wiki/File:AbdominalThrust_HeimlichManoeuvre.jpg","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/AbdominalThrust_HeimlichManoeuvre.jpg/1920px-AbdominalThrust_HeimlichManoeuvre.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","dccfd7a224a459206122c4325b75b4e19cb30a0e","dccfd7a224a459206122c4325b75b4e19cb30a0e","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/f/b/0/8/AbdominalThrust_HeimlichManoeuvre.jpg","257634","2026-08-10T18:51:35.8388679Z","INCLUDE"
"Transformer","Electrical","File:Abspannportal.jpg","CC BY-SA 3.0","MdE","https://commons.wikimedia.org/wiki/File:Abspannportal.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e2/Abspannportal.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","1a78689d3c3dffd2e0a83a98e3c6ec841cc2f670","1a78689d3c3dffd2e0a83a98e3c6ec841cc2f670","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/e/2/e/e/Abspannportal.jpg","1682043","2026-08-10T18:52:00.4743981Z","INCLUDE"
"Immune system","Medicine","File:Activation of T and B cells.png","CC BY-SA 4.0","Immcarle105","https://commons.wikimedia.org/wiki/File:Activation_of_T_and_B_cells.png","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Activation_of_T_and_B_cells.png/1920px-Activation_of_T_and_B_cells.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail","2f26503148053a35db0ed466488784199937bac8","2f26503148053a35db0ed466488784199937bac8","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/5/5/1/e/Activation_of_T_and_B_cells.png","269816","2026-08-10T18:51:38.3962891Z","INCLUDE"
"Dehydration","Medicine","File:Adult cholera patient.jpg","Public domain","CDC","https://commons.wikimedia.org/wiki/File:Adult_cholera_patient.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2b/Adult_cholera_patient.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","37d35e111902f6c147f8dc9983aeb0b0979671cb","37d35e111902f6c147f8dc9983aeb0b0979671cb","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/2/b/2/8/Adult_cholera_patient.jpg","66821","2026-08-10T18:51:36.9207303Z","INCLUDE"
"Lyme disease","Medicine","File:Adult deer tick.jpg","Public domain","Photo by Scott Bauer.","https://commons.wikimedia.org/wiki/File:Adult_deer_tick.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Adult%20deer%20tick.jpg","89e4c2b5241beaf362abd07d154118057642ad25","89e4c2b5241beaf362abd07d154118057642ad25","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/3/4/7/3/Adult_deer_tick.jpg","1518536","2026-08-10T18:52:02.1311836Z","INCLUDE"
"Internal combustion engine","Engineering","File:Aegopodium podagraria1 ies.jpg","CC BY-SA 3.0","Frank Vincentz","https://commons.wikimedia.org/wiki/File:Aegopodium_podagraria1_ies.jpg","https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","2e057ce1ad12072434cb603645ee3d836377081a","2e057ce1ad12072434cb603645ee3d836377081a","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/b/f/5/c/Aegopodium_podagraria1_ies.jpg","98629","2026-08-10T18:51:40.3710024Z","INCLUDE"
"Vertebral column","Medicine","File:Aepyornis maximus.jpg","Public domain","Monnier","https://commons.wikimedia.org/wiki/File:Aepyornis_maximus.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Aepyornis_maximus.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original","fbda9178df9e0519b44164183f16130e4ee0fa1d","fbda9178df9e0519b44164183f16130e4ee0fa1d","WikiProject_v0.5/xowa_app_windows_64_v4.6.12.2009/file/commons.wikimedia.org/orig/1/e/5/a/Aepyornis_maximus.jpg","61734","2026-08-10T18:51:39.8342931Z","INCLUDE"
